rows	name	smiles	verdict	note
333	raw material	COC(=O)[C@@H](CC1=CN=CN1)N.Cl	label	returns histidine methyl ester hydrochloride
315	epoxide	C[C@@]12CC[C@@H]3[C@H](CC3(C)C)C(=C)CC[C@H]1O2	label	functional class; returns a terpene epoxide
307	nitro	N(=O)[O]	label	functional group
301	reduced iron	[Fe]	ok	
301	thiol	S	label	functional group; returns hydrogen sulfide
282	stannic chloride	Cl[Sn](Cl)(Cl)Cl	ok	
276	mercuric chloride	Cl[Hg]Cl	ok	
262	Boc	CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)[C@H](C(C)(C)C)NC(=O)NC(C)(C)C)C(=O)NC(CC3CCC3)C(=O)C(=O)N)C	label	protecting group; returns a peptide
257	sulfonamide	C1=CC(=CC=C1N)S(=O)(=O)N	label	functional class; returns sulfanilamide
249	Pd(OAc)2	CC(=O)[O-].CC(=O)[O-].[Pd+2]	ok	
248	mercuric acetate	CC(=O)[O-].CC(=O)[O-].[Hg+2]	ok	
244	FeCl3	Cl[Fe](Cl)Cl	ok	
237	mercuric oxide	O=[Hg]	ok	
233	cuprous bromide	[Cu]Br	ok	
228	1,1-carbonyldiimidazole	C1=CN(C=N1)C(=O)N2C=CN=C2	ok	CDI under a nonstandard spelling
224	diethyl ester	CCOC(=O)C1=CC=CC=C1C(=O)OCC	label	functional class; returns diethyl phthalate
218	5u	C1=CC=C2C(=C1)N(C3=C(S2)C=CC(=C3)C(F)(F)F)C(=O)CN4C(=N)SC(=N4)C5=CC=CS5	label	compound label from a paper
213	diazonium	[NH+]#N	label	functional group
204	cuprous oxide	[O-2].[Cu+].[Cu+]	ok	
201	oxide	[O-2]	label	returns the bare oxide dianion
200	CaSO4	[O-]S(=O)(=O)[O-].[Ca+2]	ok	
199	N,N-dicyclohexylcarbodiimide	C1CCC(CC1)N=C=NC2CCCCC2	ok	DCC
197	acetal	CCOC(C)OCC	label	functional class; returns 1,1-diethoxyethane
192	ceric ammonium nitrate	[NH4+].[NH4+].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Ce+4]	ok	
192	Na2SO4.10H2O	O.O.O.O.O.O.O.O.O.O.[O-]S(=O)(=O)[O-].[Na+].[Na+]	ok	
185	IV	CCC(C)C(C(=O)NC(C(C)C)C(=O)O)N	label	roman-numeral compound label; returns a dipeptide
183	cupric acetate	CC(=O)[O-].CC(=O)[O-].[Cu+2]	ok	
181	2B	CCCCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-]	label	returns benzalkonium chloride
181	CrO3	O=[Cr](=O)=O	ok	
171	E1	CC[C@H](C)[C@@H](C(=O)N[C@@H](CC1=CC=C(C=C1)O)C=O)NC(=O)[C@H](CO)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@@H]3CCCN3C(=O)[C@H](C)N	label	returns a peptide
169	BOC	CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)[C@H](C(C)(C)C)NC(=O)NC(C)(C)C)C(=O)NC(CC3CCC3)C(=O)C(=O)N)C	label	same
