name	status	smiles	lines	seconds	throttle
2-N	404		0	0.174	Request Count status: Green (4%), Request Time status: Green (0%), Service status: Green (47%)
mercuric oxide	200	O=[Hg]	1	0.236	Request Count status: Green (5%), Request Time status: Green (0%), Service status: Yellow (57%)
Boc	200	CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)[C@H](C(C)(C)C)NC(=O)NC(C)(C)C)C(=O)NC(CC3CCC3)C(=O)C(=O)N)C	1	0.224	Request Count status: Green (5%), Request Time status: Green (0%), Service status: Green (47%)
ferric chloride	200	Cl[Fe](Cl)Cl	1	0.394	Request Count status: Green (5%), Request Time status: Green (0%), Service status: Green (37%)
ice hydrochloric acid	404		0	0.174	Request Count status: Green (6%), Request Time status: Green (0%), Service status: Green (40%)
cuprous cyanide	200	[C-]#N.[Cu+]	1	0.217	Request Count status: Green (6%), Request Time status: Green (0%), Service status: Green (30%)
cupric chloride	200	Cl[Cu]Cl	1	0.315	Request Count status: Green (5%), Request Time status: Green (0%), Service status: Green (37%)
2h	200	[2H]O[2H]	1	0.26	Request Count status: Green (5%), Request Time status: Green (0%), Service status: Yellow (50%)
ammonium salt	404		0	0.185	Request Count status: Green (7%), Request Time status: Green (0%), Service status: Green (23%)
Na2HPO4	200	OP(=O)([O-])[O-].[Na+].[Na+]	1	0.326	Request Count status: Green (6%), Request Time status: Green (0%), Service status: Green (37%)
ether-petroleum ether	404		0	0.285	Request Count status: Green (6%), Request Time status: Green (0%), Service status: Green (30%)
EtOAc heptanes	404		0	0.318	Request Count status: Green (6%), Request Time status: Green (0%), Service status: Yellow (53%)
amino acids	404		0	0.188	Request Count status: Green (7%), Request Time status: Green (0%), Service status: Green (40%)
R3—(CH2)m—NH2	404		0	0.207	Request Count status: Green (6%), Request Time status: Green (0%), Service status: Green (40%)
ethyl acetate-ether	404		0	0.187	Request Count status: Green (7%), Request Time status: Green (0%), Service status: Yellow (50%)
SeO2	200	O=[Se]=O	1	0.212	Request Count status: Green (7%), Request Time status: Green (0%), Service status: Green (27%)
1-N	404		0	0.209	Request Count status: Green (7%), Request Time status: Green (0%), Service status: Green (47%)
[Rh(tBuCp*)(Cl)2]2	404		0	0.201	Request Count status: Green (7%), Request Time status: Green (0%), Service status: Green (33%)
nitro	200	N(=O)[O]	1	0.198	Request Count status: Green (8%), Request Time status: Green (0%), Service status: Green (43%)
triethyl phosphonoacetate	200	CCOC(=O)CP(=O)(OCC)OCC	1	0.304	Request Count status: Green (8%), Request Time status: Green (0%), Service status: Green (47%)
ice H2O	404		0	0.163	Request Count status: Green (8%), Request Time status: Green (0%), Service status: Green (37%)
Ir-93	404		0	0.18	Request Count status: Green (8%), Request Time status: Green (0%), Service status: Green (43%)
Example 1	404		0	0.176	Request Count status: Green (8%), Request Time status: Green (0%), Service status: Green (40%)
( a )	404		0	0.168	Request Count status: Green (8%), Request Time status: Green (0%), Service status: Yellow (50%)
SPhos Pd G4	200	CNC1=CC=CC=C1C2=CC=CC=[C-]2.COC1=C(C(=CC=C1)OC)C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4.CS(=O)(=O)O.[Pd]	1	0.252	Request Count status: Green (8%), Request Time status: Green (0%), Service status: Green (40%)
acetone hexanes	404		0	0.195	Request Count status: Green (8%), Request Time status: Green (0%), Service status: Green (30%)
III	404		0	0.186	Request Count status: Green (9%), Request Time status: Green (0%), Service status: Green (40%)
PtO2	200	[O-2].[O-2].[Pt+4]	1	0.2	Request Count status: Green (9%), Request Time status: Green (0%), Service status: Green (33%)
tetrakistriphenylphosphine palladium(0)	404		0	0.174	Request Count status: Green (9%), Request Time status: Green (0%), Service status: Green (33%)
petrol	404		0	0.167	Request Count status: Green (9%), Request Time status: Green (0%), Service status: Green (23%)
pinacol ester	200	B1(OC(C(O1)(C)C)(C)C)C2=CC(=CN=C2OC)C	1	0.211	Request Count status: Green (9%), Request Time status: Green (0%), Service status: Green (30%)
dimethyl acetal	200	CC(OC)OC	1	0.252	Request Count status: Green (9%), Request Time status: Green (0%), Service status: Green (43%)
( s )	404		0	0.176	Request Count status: Green (9%), Request Time status: Green (0%), Service status: Green (43%)
Pd(Ph3)4	404		0	0.166	Request Count status: Green (9%), Request Time status: Green (0%), Service status: Green (20%)
1a	404		0	0.16	Request Count status: Green (10%), Request Time status: Green (0%), Service status: Green (27%)
Cu	200	[Cu]	1	0.208	Request Count status: Green (9%), Request Time status: Green (0%), Service status: Green (33%)
N,N′-carbonyldiimidazole	200	C1=CN(C=N1)C(=O)N2C=CN=C2	1	0.218	Request Count status: Green (10%), Request Time status: Green (0%), Service status: Green (37%)
Intermediate 14	404		0	0.206	Request Count status: Green (9%), Request Time status: Green (0%), Service status: Green (30%)
solvent B	404		0	0.199	Request Count status: Green (10%), Request Time status: Green (0%), Service status: Green (43%)
olefin	404		0	0.168	Request Count status: Green (10%), Request Time status: Green (0%), Service status: Green (37%)
methanol-ether	404		0	0.177	Request Count status: Green (10%), Request Time status: Green (0%), Service status: Green (37%)
solids	404		0	0.247	Request Count status: Green (10%), Request Time status: Green (0%), Service status: Green (47%)
quartz	200	O=[Si]=O	1	0.198	Request Count status: Green (10%), Request Time status: Green (0%), Service status: Green (43%)
tetrakistriphenylphosphine palladium	404		0	0.188	Request Count status: Green (11%), Request Time status: Green (0%), Service status: Green (27%)
petroleum	404		0	0.174	Request Count status: Green (10%), Request Time status: Green (0%), Service status: Green (27%)
( I )	404		0	0.178	Request Count status: Green (11%), Request Time status: Green (0%), Service status: Green (37%)
raw material	200	COC(=O)[C@@H](CC1=CN=CN1)N.Cl	1	0.213	Request Count status: Green (11%), Request Time status: Green (0%), Service status: Green (23%)
3G OMs RockPhos	404		0	0.186	Request Count status: Green (12%), Request Time status: Green (0%), Service status: Green (30%)
ice-salt	404		0	0.188	Request Count status: Green (12%), Request Time status: Green (0%), Service status: Green (20%)
step-ii	404		0	0.184	Request Count status: Green (11%), Request Time status: Green (0%), Service status: Green (47%)
A1	200	C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O[C@@H]3[C@H](O[C@H]([C@@H]3O)N4C=NC5=C4N=C(NC5=O)N)COP(=O)(O)O[C@@H]6[C@H](O[C@H]([C@@H]6O)N7C=CC(=O)NC7=O)COP(=O)(O)O[C@@H]8[C@H](O[C@H]([C@@H]8O)N9C=NC1=C(N=CN=C19)N)CO[P+](=O)O)O)O	1	0.238	Request Count status: Green (11%), Request Time status: Green (0%), Service status: Green (33%)
hexanes acetone	404		0	0.191	Request Count status: Green (11%), Request Time status: Green (0%), Service status: Green (43%)
heptanes ethyl acetate	404		0	0.193	Request Count status: Green (12%), Request Time status: Green (0%), Service status: Green (43%)
palladium tetrakistriphenylphosphine	404		0	0.179	Request Count status: Green (12%), Request Time status: Green (0%), Service status: Yellow (57%)
polymer	404		0	0.161	Request Count status: Green (12%), Request Time status: Green (0%), Service status: Green (47%)
steel	404		0	0.175	Request Count status: Green (12%), Request Time status: Green (0%), Service status: Green (43%)
anhydride	200	C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(C[C@@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)O)O)O)O	1	0.201	Request Count status: Green (12%), Request Time status: Green (0%), Service status: Green (23%)
5% Rh/C	404		0	0.147	
TiCl3	200	Cl[Ti](Cl)Cl	1	0.232	Request Count status: Green (12%), Request Time status: Green (0%), Service status: Green (37%)
SiO2	200	O=[Si]=O	1	0.186	Request Count status: Green (12%), Request Time status: Green (0%), Service status: Green (33%)
potassium tert.-butylate	404		0	0.158	Request Count status: Green (13%), Request Time status: Green (0%), Service status: Green (40%)
diester	404		0	0.173	Request Count status: Green (12%), Request Time status: Green (0%), Service status: Green (40%)
thiol	200	S	1	0.219	Request Count status: Green (13%), Request Time status: Green (0%), Service status: Green (37%)
NH4HCO3	404		0	0.164	Request Count status: Green (13%), Request Time status: Green (0%), Service status: Green (30%)
heptanes	200	CCCCCCC	1	0.192	Request Count status: Green (13%), Request Time status: Green (0%), Service status: Green (37%)
fumarate salt	404		0	0.183	Request Count status: Green (13%), Request Time status: Green (0%), Service status: Green (30%)
( w )	404		0	0.18	Request Count status: Green (14%), Request Time status: Green (0%), Service status: Green (27%)
potassium t-butylate	404		0	0.17	Request Count status: Green (14%), Request Time status: Green (0%), Service status: Green (30%)
CeCl3	200	Cl[Ce](Cl)Cl	1	0.203	Request Count status: Green (14%), Request Time status: Green (0%), Service status: Green (40%)
enamine	200	CN(C)C(=O)NC1=CC(=C(C=C1)C(=O)O)Cl	1	0.245	Request Count status: Green (13%), Request Time status: Green (0%), Service status: Green (40%)
PTFE	404		0	0.172	Request Count status: Green (14%), Request Time status: Green (0%), Service status: Green (37%)
amino acid	404		0	0.169	Request Count status: Green (14%), Request Time status: Green (0%), Service status: Yellow (60%)
IMS	404		0	0.174	Request Count status: Green (14%), Request Time status: Green (0%), Service status: Yellow (53%)
Mg2SO4	404		0	0.175	Request Count status: Green (14%), Request Time status: Green (0%), Service status: Green (30%)
dcype	200	C1CCC(CC1)P(CCP(C2CCCCC2)C3CCCCC3)C4CCCCC4	1	0.236	Request Count status: Green (14%), Request Time status: Green (0%), Service status: Green (33%)
petroleum ether ether	404		0	0.193	Request Count status: Green (14%), Request Time status: Green (0%), Service status: Green (30%)
PdCl2dppf	404		0	0.162	Request Count status: Green (14%), Request Time status: Green (0%), Service status: Green (40%)
carbonyl	404		0	0.31	Request Count status: Green (15%), Request Time status: Green (1%), Service status: Green (43%)
resultant material	404		0	0.175	Request Count status: Green (15%), Request Time status: Green (1%), Service status: Yellow (50%)
LiOH monohydrate	404		0	0.166	Request Count status: Green (15%), Request Time status: Green (1%), Service status: Green (40%)
SO2Cl2	200	O=S(=O)(Cl)Cl	1	0.214	Request Count status: Green (15%), Request Time status: Green (0%), Service status: Green (40%)
1,1-carbonyldiimidazole	200	C1=CN(C=N1)C(=O)N2C=CN=C2	1	0.207	Request Count status: Green (16%), Request Time status: Green (1%), Service status: Green (27%)
amines	404		0	0.172	Request Count status: Green (16%), Request Time status: Green (1%), Service status: Green (23%)
ArH	200	C[C@@H]1CN1C2=CC(=O)C3=C(C2=O)C(=C(N3C)C4=CC=CC=C4)CO	1	0.209	Request Count status: Green (16%), Request Time status: Green (1%), Service status: Green (23%)
methylene chloride hexanes	404		0	0.185	Request Count status: Green (16%), Request Time status: Green (1%), Service status: Green (13%)
Intermediate 1	404		0	0.172	Request Count status: Green (17%), Request Time status: Green (1%), Service status: Green (37%)
2B	200	CCCCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-]	1	0.211	Request Count status: Green (15%), Request Time status: Green (0%), Service status: Green (30%)
acetal	200	CCOC(C)OCC	1	0.193	Request Count status: Green (17%), Request Time status: Green (1%), Service status: Green (27%)
trihydrochloride	404		0	0.183	Request Count status: Green (15%), Request Time status: Green (1%), Service status: Green (27%)
CuBr	404		0	0.184	Request Count status: Green (17%), Request Time status: Green (1%), Service status: Green (23%)
4-N,N-dimethylaminopyridine	404		0	0.202	Request Count status: Green (16%), Request Time status: Green (1%), Service status: Green (30%)
acetone-ether	404		0	0.187	Request Count status: Green (16%), Request Time status: Green (1%), Service status: Green (33%)
title compounds	404		0	0.183	Request Count status: Green (17%), Request Time status: Green (1%), Service status: Green (33%)
ethyl acetate heptanes	404		0	0.183	Request Count status: Green (16%), Request Time status: Green (1%), Service status: Green (23%)
Et2O hexanes	404		0	0.183	Request Count status: Green (16%), Request Time status: Green (1%), Service status: Green (40%)
cuprous chloride	200	Cl[Cu]	1	0.201	Request Count status: Green (17%), Request Time status: Green (1%), Service status: Green (40%)
Compound II	404		0	0.172	Request Count status: Green (18%), Request Time status: Green (1%), Service status: Green (27%)
D4	200	C1=CC(=CC=C1CNC2=NC3=C(C=C2)NC(=O)N3)F	1	0.206	Request Count status: Green (18%), Request Time status: Green (1%), Service status: Green (20%)
ligroin	404		0	0.178	Request Count status: Green (17%), Request Time status: Green (1%), Service status: Green (30%)
polyphosphoric acid	404		0	0.183	Request Count status: Green (18%), Request Time status: Green (1%), Service status: Yellow (50%)
Amine-1	404		0	0.171	Request Count status: Green (19%), Request Time status: Green (1%), Service status: Green (27%)
resultant product	404		0	0.174	Request Count status: Green (19%), Request Time status: Green (1%), Service status: Yellow (50%)
Ag2O	200	[O-2].[Ag+].[Ag+]	1	0.253	Request Count status: Green (17%), Request Time status: Green (1%), Service status: Green (30%)
alcohols	404		0	0.225	Request Count status: Green (19%), Request Time status: Green (1%), Service status: Green (47%)
heptanes EtOAc	404		0	0.192	Request Count status: Green (17%), Request Time status: Green (1%), Service status: Green (37%)
hydrate	404		0	0.176	Request Count status: Green (19%), Request Time status: Green (1%), Service status: Green (30%)
dioxanes	404		0	0.167	Request Count status: Green (17%), Request Time status: Green (1%), Service status: Green (33%)
( 1H )	404		0	0.166	Request Count status: Green (19%), Request Time status: Green (1%), Service status: Green (33%)
Intermediate 12	404		0	0.176	Request Count status: Green (17%), Request Time status: Green (1%), Service status: Green (40%)
ether petroleum ether	404		0	0.183	Request Count status: Green (20%), Request Time status: Green (1%), Service status: Green (23%)
ethyl acetate petrol	404		0	0.17	Request Count status: Green (20%), Request Time status: Green (1%), Service status: Green (30%)
desired material	404		0	0.162	Request Count status: Green (20%), Request Time status: Green (1%), Service status: Green (27%)
titled compound	404		0	0.172	Request Count status: Green (20%), Request Time status: Green (1%), Service status: Green (20%)
hept-EA	404		0	0.173	Request Count status: Green (21%), Request Time status: Green (1%), Service status: Green (43%)
Si	200	[Si]	1	0.213	Request Count status: Green (21%), Request Time status: Green (1%), Service status: Green (27%)
tertiary amine	404		0	0.233	Request Count status: Green (21%), Request Time status: Green (1%), Service status: Green (37%)
solvent A	404		0	0.175	Request Count status: Green (22%), Request Time status: Green (1%), Service status: Green (47%)
raw materials	404		0	0.177	Request Count status: Green (18%), Request Time status: Green (1%), Service status: Green (23%)
Xantphos Pd G4	404		0	0.165	Request Count status: Green (22%), Request Time status: Green (1%), Service status: Green (43%)
( b )	404		0	0.17	Request Count status: Green (22%), Request Time status: Green (1%), Service status: Green (40%)
Intermediate 4	200	CC=C1C2CC(CC[C@@]2(C3CC[C@]4(C(C3C1=O)CCC4C(C)CCC(=O)OC)C)C)O	1	0.204	Request Count status: Green (18%), Request Time status: Green (1%), Service status: Green (33%)
light petroleum	404		0	0.164	Request Count status: Green (18%), Request Time status: Green (1%), Service status: Green (37%)
BOC	200	CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)[C@H](C(C)(C)C)NC(=O)NC(C)(C)C)C(=O)NC(CC3CCC3)C(=O)C(=O)N)C	1	0.206	Request Count status: Green (22%), Request Time status: Green (1%), Service status: Green (23%)
Arbocel	404		0	0.172	Request Count status: Green (22%), Request Time status: Green (1%), Service status: Green (37%)
industrial methylated spirit	404		0	0.18	Request Count status: Green (19%), Request Time status: Green (1%), Service status: Green (40%)
Solvent A	404		0	0.174	Request Count status: Green (19%), Request Time status: Green (1%), Service status: Yellow (50%)
( m )	404		0	0.184	Request Count status: Green (23%), Request Time status: Green (1%), Service status: Yellow (57%)
CuCl2	200	Cl[Cu]Cl	1	0.205	Request Count status: Green (19%), Request Time status: Green (1%), Service status: Green (37%)
3A	200	CC(C)C1=C(C(=CC=C1)C(C)C)N=CC2=CC=CC=C2[O-].C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3.C(Cl)Cl.C(Cl)Cl.[Cl-].[Pt+2]	1	0.189	Request Count status: Green (19%), Request Time status: Green (1%), Service status: Yellow (67%)
nylon	200	CCCCCC(=O)N	1	0.205	Request Count status: Green (19%), Request Time status: Green (1%), Service status: Green (27%)
NaIO4	200	[O-]I(=O)(=O)=O.[Na+]	1	0.208	Request Count status: Green (20%), Request Time status: Green (1%), Service status: Green (33%)
( C )	404		0	0.174	Request Count status: Green (23%), Request Time status: Green (1%), Service status: Yellow (50%)
Teflon	404		0	0.176	Request Count status: Green (20%), Request Time status: Green (1%), Service status: Green (23%)
2L	404		0	0.158	Request Count status: Green (23%), Request Time status: Green (1%), Service status: Yellow (50%)
Pt	200	[Pt]	1	0.185	Request Count status: Green (23%), Request Time status: Green (1%), Service status: Green (37%)
5,6-dihydrospiro[benzo[1,2-b:5,4-b′]difuran-3,3′-indol]-2″(1′H)-one	404		0	0.194	Request Count status: Green (20%), Request Time status: Green (1%), Service status: Green (30%)
acetate salt	404		0	0.18	Request Count status: Green (20%), Request Time status: Green (1%), Service status: Green (30%)
CH2Cl2 hexanes	404		0	0.164	Request Count status: Green (24%), Request Time status: Green (1%), Service status: Green (30%)
formula II	404		0	0.179	Request Count status: Green (24%), Request Time status: Green (1%), Service status: Green (37%)
ethanol-ether	404		0	0.203	Request Count status: Green (21%), Request Time status: Green (1%), Service status: Green (47%)
petroleum spirit	404		0	0.206	Request Count status: Green (20%), Request Time status: Green (1%), Service status: Yellow (50%)
petroleum benzine	404		0	0.288	Request Count status: Green (24%), Request Time status: Green (1%), Service status: Green (40%)
HClO4	200	OCl(=O)(=O)=O	1	0.232	Request Count status: Green (21%), Request Time status: Green (1%), Service status: Yellow (53%)
Intermediate 6	404		0	0.169	Request Count status: Green (24%), Request Time status: Green (1%), Service status: Green (30%)
( d )	404		0	0.181	Request Count status: Green (24%), Request Time status: Green (1%), Service status: Yellow (53%)
sulfone	200	CC1=CC=C(C=C1)S(=O)(=O)/C(=C(/C2=CC=CC=C2)\Br)/C3=CC=CC=C3	1	0.242	Request Count status: Green (24%), Request Time status: Green (1%), Service status: Yellow (50%)
di-TFA	404		0	0.186	Request Count status: Green (20%), Request Time status: Green (1%), Service status: Green (37%)
KHCO3	200	C(=O)(O)[O-].[K+]	1	0.198	Request Count status: Green (24%), Request Time status: Green (1%), Service status: Green (23%)
intermediate 27	404		0	0.17	Request Count status: Green (25%), Request Time status: Green (1%), Service status: Green (47%)
compound 1	404		0	0.181	Request Count status: Green (25%), Request Time status: Green (1%), Service status: Green (20%)
H+	200	[H+]	1	0.205	Request Count status: Green (20%), Request Time status: Green (1%), Service status: Green (33%)
TBF	200	C(=O)O	1	0.2	Request Count status: Green (25%), Request Time status: Green (1%), Service status: Green (33%)
silicone	200	[Si]	1	0.196	Request Count status: Green (24%), Request Time status: Green (1%), Service status: Green (30%)
diethyl ester	200	CCOC(=O)C1=CC=CC=C1C(=O)OCC	1	0.202	Request Count status: Green (20%), Request Time status: Green (1%), Service status: Green (37%)
N,N′-Carbonyldiimidazole	200	C1=CN(C=N1)C(=O)N2C=CN=C2	1	0.228	Request Count status: Green (20%), Request Time status: Green (1%), Service status: Green (40%)
10%% Pd/C (dry)	404		0	0.16	
raw product	404		0	0.174	Request Count status: Green (24%), Request Time status: Green (1%), Service status: Green (40%)
petroleum ether	404		0	0.171	Request Count status: Green (25%), Request Time status: Green (1%), Service status: Green (37%)
atmosphere	404		0	0.167	Request Count status: Green (25%), Request Time status: Green (1%), Service status: Green (37%)
Pd(OAc)2	200	CC(=O)[O-].CC(=O)[O-].[Pd+2]	1	0.211	Request Count status: Green (25%), Request Time status: Green (1%), Service status: Green (23%)
CsCO3	404		0	0.18	Request Count status: Green (20%), Request Time status: Green (1%), Service status: Green (47%)
( i )	404		0	0.177	Request Count status: Green (19%), Request Time status: Green (1%), Service status: Green (33%)
complex	404		0	0.185	Request Count status: Green (20%), Request Time status: Green (1%), Service status: Green (47%)
( M )	404		0	0.178	Request Count status: Green (20%), Request Time status: Green (1%), Service status: Green (40%)
Heterocyclic	404		0	0.164	Request Count status: Green (20%), Request Time status: Green (1%), Service status: Green (37%)
hydrocarbon	404		0	0.163	Request Count status: Green (20%), Request Time status: Green (1%), Service status: Green (33%)
C8	404		0	0.178	Request Count status: Green (20%), Request Time status: Green (1%), Service status: Green (23%)
( c )	404		0	0.173	Request Count status: Green (24%), Request Time status: Green (1%), Service status: Green (27%)
same solvent	404		0	0.204	Request Count status: Green (25%), Request Time status: Green (1%), Service status: Green (27%)
sodium sulfate anhydride	404		0	0.203	Request Count status: Green (25%), Request Time status: Green (1%), Service status: Green (27%)
esters	404		0	0.183	Request Count status: Green (25%), Request Time status: Green (1%), Service status: Green (20%)
5% Pd/C	404		0	0.16	
mercuric chloride	200	Cl[Hg]Cl	1	0.223	Request Count status: Green (19%), Request Time status: Green (1%), Service status: Green (27%)
Intermediate 2	404		0	0.195	Request Count status: Green (19%), Request Time status: Green (1%), Service status: Green (37%)
(Ir[dF(4CF3)ppy]2(dtbpy))PF6	404		0	0.2	Request Count status: Green (19%), Request Time status: Green (1%), Service status: Green (13%)
RaNi 4200	404		0	0.193	Request Count status: Green (25%), Request Time status: Green (1%), Service status: Green (27%)
CO3	200	C(=O)([O-])[O-]	1	0.206	Request Count status: Green (19%), Request Time status: Green (1%), Service status: Green (20%)
diethyl acetal	200	CCOC(C)OCC	1	0.194	Request Count status: Green (19%), Request Time status: Green (1%), Service status: Green (27%)
ice water brine	404		0	0.179	Request Count status: Green (25%), Request Time status: Green (1%), Service status: Green (33%)
stannous chloride dihydrate	200	O.O.Cl[Sn]Cl	1	0.224	Request Count status: Green (25%), Request Time status: Green (1%), Service status: Green (37%)
triethylamine-2HF	404		0	0.18	Request Count status: Green (19%), Request Time status: Green (1%), Service status: Green (20%)
one	404		0	0.205	Request Count status: Green (20%), Request Time status: Green (1%), Service status: Green (37%)
carboxylic acid	404		0	0.186	Request Count status: Green (20%), Request Time status: Green (1%), Service status: Green (33%)
tetrakis(triphenyl-phosphine)palladium	404		0	0.186	Request Count status: Green (20%), Request Time status: Green (1%), Service status: Green (40%)
5u	200	C1=CC=C2C(=C1)N(C3=C(S2)C=CC(=C3)C(F)(F)F)C(=O)CN4C(=N)SC(=N4)C5=CC=CS5	1	0.207	Request Count status: Green (24%), Request Time status: Green (1%), Service status: Green (43%)
Solvent B	404		0	0.191	Request Count status: Green (20%), Request Time status: Green (1%), Service status: Green (27%)
diacid	200	CCC(CC)(C(=O)NC(=O)N)Br	1	0.242	Request Count status: Green (20%), Request Time status: Green (1%), Service status: Green (27%)
secondary amine	404		0	0.179	Request Count status: Green (20%), Request Time status: Green (1%), Service status: Green (20%)
10% Pt/C	404		0	0.266	
cupric acetate	200	CC(=O)[O-].CC(=O)[O-].[Cu+2]	1	0.393	Request Count status: Green (23%), Request Time status: Green (1%), Service status: Green (30%)
NaSO4	404		0	0.47	Request Count status: Green (23%), Request Time status: Green (1%), Service status: Green (30%)
PCy3	200	C1CCC(CC1)P(C2CCCCC2)C3CCCCC3	1	0.551	Request Count status: Green (23%), Request Time status: Green (1%), Service status: Green (30%)
1L	404		0	0.33	Request Count status: Green (23%), Request Time status: Green (1%), Service status: Green (27%)
ion	404		0	0.219	Request Count status: Green (20%), Request Time status: Green (1%), Service status: Green (23%)
E2	200	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O	1	0.317	Request Count status: Green (20%), Request Time status: Green (1%), Service status: Green (17%)
